Brand	Average rating
19-69	3.721214286
54 Thrones	4.15785
ABBOTT	4.378307692
Acqua di Parma	4.123785714
adwoa beauty	4.462657143
AERIN	3.969240909
Algenist	4.147771875
Alpha-H	4.378555556
alpyn beauty	4.644946154
ALTERNA Haircare	4.274586364
Ami Colé	4.682144444
amika	4.039591837
Anastasia Beverly Hills	4.2252
Aquis	4.9048
Armani Beauty	4.503825926
Artist Couture	4.087266667
Atelier Cologne	4.4237
Augustinus Bader	4.211663158
Azzaro	4.71525
bareMinerals	4.217231818
BeautyBio	4.080328125
beautyblender	4.241745455
belif	4.359376923
Benefit Cosmetics	4.166749296
BERDOUES	3.4286
Bio Ionic	3.770976923
Biossance	4.13592
Blinc	3.77414
Bobbi Brown	4.225896296
Bon Parfumeur	4.5451
BondiBoost	4.77695
Boy Smells	4.213833333
BREAD BEAUTY SUPPLY	4.340246667
Briogeo	4.047176364
Bumble and bumble	4.0633
BURBERRY	4.442204348
Buxom	4.231585714
By Rosie Jane	4.200154545
caliray	4.455433333
Calvin Klein	4.444425
CANOPY	4.813733333
Capri Blue	4
Carolina Herrera	4.23135
Caudalie	4.391988372
CAY SKIN	4.511633333
Ceremonia	4.321804762
CHANEL	4.374332558
Charlotte Tilbury	3.949517347
Chloé	4.394645455
Christian Louboutin	4.3627
Christophe Robin	3.154766667
Cinema Secrets	4.014242857
Clarins	4.169394872
CLEAN RESERVE	4.197795833
CLINIQUE	4.13579096
COLOR WOW	4.094042424
Commodity	4.317614894
Community Sixty-Six	3.975755556
COOLA	4.057642105
Crown Affair	4.544991667
Curlsmith	4.57312381
dae	4.359038889
DAMDAM	4.752775
Dame	4.406890909
Danessa Myricks Beauty	4.351079167
Deborah Lippmann	3.94908
DedCool	4.46326875
DEREK LAM 10 CROSBY	4.073733333
DERMAFLASH	3.99465
Dermalogica	4.52267451
Dior	4.223521053
Dolce&Gabbana	4.438485
DOMINIQUE COSMETICS	4.7857
Donna Karan	4.26526
dpHUE	4.1667
Dr. Barbara Sturm	4.000757143
Dr. Brandt Skincare	4.021183333
Dr. Dennis Gross Skincare	4.341230303
Dr. Jart+	4.224064286
Dr. Lara Devgan Scientific Beauty	3.781311111
Dr. Zenovia Skincare	4.450884615
Drunk Elephant	4.082732143
Drybar	4.00105493
DUO	4.0884
EADEM	4.637966667
Eight & Bob	3.5
Ellis Brooklyn	4.112908108
Erno Laszlo	5
Estée Lauder	4.235971739
Evian	4.5459
Fable & Mane	4.301908333
FaceGym	4.64645
Farmacy	4.428941379
Fashion Fair	4.5567
Fenty Beauty by Rihanna	4.028038272
Fenty Skin	4.216132143
First Aid Beauty	4.265302381
Flora + Bast	4.6965
Floral Street	3.698142105
FOREO	4.001731579
FORVR Mood	3.597808696
Freck Beauty	4.334581818
fresh	4.2404125
ghd	4.125588889
Gisou	4.408333333
Givenchy	4.392591892
Glamnetic	3.71335
GLO Science	4.384816667
Glossier	3.885927273
Glow Recipe	4.352206897
Good Dye Young	3.06205
Google	4.6087
goop	3.911935484
Grace Eleyae	4.647877778
Grande Cosmetics	3.909028571
Gucci	4.159371429
GUERLAIN	4.107663415
GXVE BY GWEN STEFANI	4.431575
HABIT	4.518733333
Hanni	4.66465
HAUS LABS BY LADY GAGA	4.263583333
Herbivore	4.182784848
HERETIC	3.7675875
HERMÈS	4.302812903
Hourglass	4.220097647
House of Lashes	4.060533333
HUDA BEAUTY	4.036165517
HUM Nutrition	4.284282759
Hyper Skin	4.31064
Iconic London	4.176089474
IGK	3.988885714
ILIA	4.01876129
iluminage	3.67
